song_id,title,artist,genre,mood,energy,danceability,tempo
S_0115,Rock Track 115,Artist 59,Rock,Happy,0.67,0.72,120.0
S_0116,Rock Track 116,Artist 69,Rock,Happy,0.85,0.82,102.0
S_0117,Electronic Track 117,Artist 34,Electronic,Romantic,0.75,0.81,125.0
S_0118,Hip-Hop Track 118,Artist 9,Hip-Hop,Energetic,0.94,0.83,108.0
S_0119,Electronic Track 119,Artist 37,Electronic,Energetic,0.63,0.82,101.0
S_0120,Hip-Hop Track 120,Artist 70,Hip-Hop,Chill,0.83,0.97,129.0
S_0121,Classical Track 121,Artist 84,Classical,Romantic,0.26,0.42,78.0
S_0122,Pop Track 122,Artist 71,Pop,Angry,0.82,0.97,119.0
S_0123,Classical Track 123,Artist 14,Classical,Angry,0.48,0.55,68.0
S_0124,Hip-Hop Track 124,Artist 15,Hip-Hop,Energetic,0.63,0.55,101.0
S_0125,Rock Track 125,Artist 71,Rock,Angry,0.35,0.64,83.0
S_0126,Hip-Hop Track 126,Artist 37,Hip-Hop,Energetic,0.73,0.92,101.0
S_0127,Electronic Track 127,Artist 44,Electronic,Angry,0.93,0.64,106.0
S_0128,Electronic Track 128,Artist 82,Electronic,Angry,0.88,0.81,144.0
S_0129,Classical Track 129,Artist 63,Classical,Romantic,0.39,0.5,71.0
S_0130,Classical Track 130,Artist 12,Classical,Happy,0.67,0.88,140.0
S_0131,R&B Track 131,Artist 6,R&B,Energetic,1.0,0.71,119.0
S_0132,Pop Track 132,Artist 99,Pop,Energetic,0.91,0.67,147.0
S_0133,Hip-Hop Track 133,Artist 34,Hip-Hop,Angry,0.94,0.71,138.0
S_0134,Hip-Hop Track 134,Artist 57,Hip-Hop,Angry,0.9,0.55,145.0
S_0135,R&B Track 135,Artist 2,R&B,Romantic,0.55,0.71,93.0
S_0136,Rock Track 136,Artist 89,Rock,Happy,0.96,0.69,101.0
S_0137,Hip-Hop Track 137,Artist 5,Hip-Hop,Romantic,0.96,0.55,116.0
S_0138,Jazz Track 138,Artist 71,Jazz,Romantic,0.48,0.58,83.0
S_0139,Hip-Hop Track 139,Artist 17,Hip-Hop,Chill,0.85,0.72,115.0
S_0140,Pop Track 140,Artist 47,Pop,Energetic,0.73,0.84,138.0
S_0141,Pop Track 141,Artist 27,Pop,Energetic,0.92,0.89,105.0
S_0142,Electronic Track 142,Artist 14,Electronic,Angry,0.8,0.53,127.0
S_0143,Jazz Track 143,Artist 53,Jazz,Romantic,0.28,0.54,74.0
S_0144,Hip-Hop Track 144,Artist 21,Hip-Hop,Sad,0.65,0.57,138.0
S_0145,Hip-Hop Track 145,Artist 4,Hip-Hop,Chill,0.85,0.55,104.0
S_0146,Hip-Hop Track 146,Artist 43,Hip-Hop,Angry,0.88,0.54,141.0
S_0147,R&B Track 147,Artist 95,R&B,Angry,0.65,0.34,83.0
S_0148,Electronic Track 148,Artist 21,Electronic,Energetic,0.99,0.69,119.0
S_0149,Rock Track 149,Artist 5,Rock,Chill,0.43,0.57,99.0
S_0150,Country Track 150,Artist 26,Country,Sad,0.4,0.29,63.0
S_0151,Country Track 151,Artist 40,Country,Energetic,0.91,0.78,121.0
S_0152,Electronic Track 152,Artist 4,Electronic,Sad,0.96,0.56,125.0
S_0153,Electronic Track 153,Artist 43,Electronic,Chill,0.6,0.73,103.0
S_0154,Classical Track 154,Artist 99,Classical,Happy,0.65,0.56,132.0
S_0155,Classical Track 155,Artist 83,Classical,Energetic,0.9,0.79,148.0
S_0156,R&B Track 156,Artist 69,R&B,Angry,0.49,0.44,115.0
S_0157,Jazz Track 157,Artist 15,Jazz,Happy,0.69,0.98,101.0
S_0158,Classical Track 158,Artist 75,Classical,Sad,0.49,0.12,96.0
S_0159,Classical Track 159,Artist 14,Classical,Happy,0.81,1.0,104.0
S_0160,R&B Track 160,Artist 94,R&B,Energetic,0.82,0.98,126.0
S_0161,Jazz Track 161,Artist 78,Jazz,Chill,0.35,0.45,78.0
S_0162,Rock Track 162,Artist 74,Rock,Chill,0.35,0.39,96.0
S_0163,Electronic Track 163,Artist 6,Electronic,Energetic,0.62,0.64,148.0
S_0164,R&B Track 164,Artist 67,R&B,Happy,0.96,0.73,131.0
S_0165,Electronic Track 165,Artist 56,Electronic,Energetic,0.71,0.59,123.0
S_0166,Rock Track 166,Artist 43,Rock,Angry,0.48,0.59,83.0
S_0167,Jazz Track 167,Artist 16,Jazz,Angry,0.49,0.59,88.0
S_0168,Classical Track 168,Artist 40,Classical,Romantic,0.31,0.25,93.0
S_0169,R&B Track 169,Artist 52,R&B,Energetic,0.87,0.58,146.0
S_0170,Classical Track 170,Artist 17,Classical,Romantic,0.43,0.57,89.0
S_0171,Electronic Track 171,Artist 86,Electronic,Chill,0.85,0.71,147.0
S_0172,R&B Track 172,Artist 96,R&B,Angry,0.73,0.32,81.0
S_0173,Hip-Hop Track 173,Artist 73,Hip-Hop,Romantic,0.75,0.91,149.0
S_0174,Classical Track 174,Artist 71,Classical,Chill,0.16,0.4,75.0
S_0175,Pop Track 175,Artist 37,Pop,Energetic,0.99,0.92,142.0
S_0176,Electronic Track 176,Artist 75,Electronic,Chill,0.79,0.71,114.0
S_0177,Jazz Track 177,Artist 57,Jazz,Chill,0.12,0.53,93.0
S_0178,Country Track 178,Artist 28,Country,Angry,0.8,0.8,102.0
S_0179,Country Track 179,Artist 22,Country,Angry,0.68,0.77,114.0
S_0180,Rock Track 180,Artist 66,Rock,Energetic,0.7,0.73,106.0
S_0181,Jazz Track 181,Artist 97,Jazz,Happy,0.98,0.8,111.0
S_0182,Electronic Track 182,Artist 40,Electronic,Angry,0.87,0.81,118.0
S_0183,Electronic Track 183,Artist 19,Electronic,Sad,0.65,0.84,126.0
S_0184,Pop Track 184,Artist 32,Pop,Happy,0.91,0.76,143.0
S_0185,Country Track 185,Artist 99,Country,Romantic,0.58,0.58,115.0
S_0186,Rock Track 186,Artist 54,Rock,Chill,0.26,0.17,61.0
S_0187,Electronic Track 187,Artist 90,Electronic,Angry,0.9,0.81,135.0
S_0188,R&B Track 188,Artist 52,R&B,Chill,0.19,0.17,61.0
S_0189,Electronic Track 189,Artist 84,Electronic,Sad,0.74,0.79,120.0
S_0190,Pop Track 190,Artist 100,Pop,Happy,0.77,0.95,117.0
S_0191,R&B Track 191,Artist 23,R&B,Sad,0.31,0.49,76.0
S_0192,Country Track 192,Artist 72,Country,Happy,0.85,0.93,147.0
S_0193,Electronic Track 193,Artist 59,Electronic,Happy,0.66,0.96,125.0
S_0194,Hip-Hop Track 194,Artist 86,Hip-Hop,Chill,0.7,0.73,149.0
S_0195,Jazz Track 195,Artist 79,Jazz,Chill,0.3,0.26,85.0
S_0196,R&B Track 196,Artist 58,R&B,Romantic,0.42,0.34,85.0
S_0197,Hip-Hop Track 197,Artist 61,Hip-Hop,Angry,0.65,0.58,107.0
S_0198,Country Track 198,Artist 97,Country,Energetic,0.86,0.59,117.0
S_0199,Electronic Track 199,Artist 36,Electronic,Angry,0.96,0.74,133.0
S_0200,Country Track 200,Artist 31,Country,Angry,0.39,0.4,82.0
S_0201,Classical Track 201,Artist 10,Classical,Chill,0.17,0.24,67.0
S_0202,Classical Track 202,Artist 35,Classical,Sad,0.14,0.16,78.0
S_0203,Jazz Track 203,Artist 70,Jazz,Energetic,0.68,0.68,125.0
S_0204,Rock Track 204,Artist 20,Rock,Sad,0.38,0.12,92.0
S_0205,Electronic Track 205,Artist 89,Electronic,Chill,0.85,0.54,144.0
S_0206,Hip-Hop Track 206,Artist 28,Hip-Hop,Angry,0.97,0.53,114.0
S_0207,Rock Track 207,Artist 53,Rock,Chill,0.42,0.47,67.0
S_0208,Jazz Track 208,Artist 60,Jazz,Romantic,0.18,0.29,79.0
S_0209,R&B Track 209,Artist 27,R&B,Happy,0.85,0.68,123.0
S_0210,R&B Track 210,Artist 99,R&B,Chill,0.4,0.12,70.0
S_0211,Pop Track 211,Artist 49,Pop,Romantic,0.89,0.95,126.0
S_0212,Country Track 212,Artist 46,Country,Happy,0.81,0.55,122.0
S_0213,Classical Track 213,Artist 54,Classical,Chill,0.31,0.22,71.0
S_0214,Electronic Track 214,Artist 29,Electronic,Chill,0.75,0.51,116.0
S_0215,Classical Track 215,Artist 63,Classical,Chill,0.18,0.26,65.0
S_0216,Pop Track 216,Artist 44,Pop,Chill,0.96,0.8,134.0
S_0217,R&B Track 217,Artist 22,R&B,Angry,0.69,0.55,83.0
S_0218,Country Track 218,Artist 80,Country,Sad,0.31,0.39,90.0
S_0219,Pop Track 219,Artist 76,Pop,Chill,0.77,0.56,114.0
S_0220,Pop Track 220,Artist 83,Pop,Happy,0.75,0.82,129.0
S_0221,R&B Track 221,Artist 60,R&B,Sad,0.24,0.59,84.0
S_0222,Hip-Hop Track 222,Artist 34,Hip-Hop,Happy,0.69,0.55,108.0
S_0223,R&B Track 223,Artist 28,R&B,Energetic,0.7,0.58,109.0
S_0224,Country Track 224,Artist 44,Country,Energetic,0.71,0.59,145.0
S_0225,R&B Track 225,Artist 97,R&B,Energetic,0.63,0.76,121.0
S_0226,R&B Track 226,Artist 11,R&B,Energetic,0.99,0.56,120.0
S_0227,Country Track 227,Artist 96,Country,Happy,0.99,0.93,141.0
S_0228,Pop Track 228,Artist 29,Pop,Energetic,0.7,0.59,133.0
S_0229,Rock Track 229,Artist 6,Rock,Angry,0.76,0.58,103.0
S_0230,Pop Track 230,Artist 26,Pop,Sad,0.71,0.88,109.0
S_0231,Pop Track 231,Artist 20,Pop,Romantic,0.73,0.71,125.0
S_0232,Electronic Track 232,Artist 61,Electronic,Sad,0.7,0.56,131.0
S_0233,Rock Track 233,Artist 28,Rock,Romantic,0.44,0.59,86.0
S_0234,Country Track 234,Artist 33,Country,Angry,0.54,0.57,82.0
S_0235,Jazz Track 235,Artist 78,Jazz,Sad,0.23,0.17,63.0
S_0236,Rock Track 236,Artist 40,Rock,Sad,0.5,0.26,92.0
S_0237,Rock Track 237,Artist 4,Rock,Romantic,0.43,0.64,110.0
S_0238,Classical Track 238,Artist 87,Classical,Romantic,0.34,0.34,76.0
S_0239,R&B Track 239,Artist 92,R&B,Chill,0.24,0.56,93.0
S_0240,Electronic Track 240,Artist 76,Electronic,Happy,0.99,0.56,137.0
S_0241,Electronic Track 241,Artist 90,Electronic,Happy,0.98,0.59,103.0
S_0242,Classical Track 242,Artist 77,Classical,Angry,0.4,0.39,94.0
S_0243,Rock Track 243,Artist 6,Rock,Romantic,0.37,0.7,88.0
S_0244,Jazz Track 244,Artist 55,Jazz,Romantic,0.17,0.18,93.0
S_0245,Jazz Track 245,Artist 65,Jazz,Happy,0.87,0.76,118.0
S_0246,Jazz Track 246,Artist 54,Jazz,Happy,0.95,0.7,141.0
S_0247,Country Track 247,Artist 56,Country,Happy,0.78,0.69,123.0
S_0248,Jazz Track 248,Artist 59,Jazz,Angry,0.22,0.47,80.0
S_0249,Hip-Hop Track 249,Artist 23,Hip-Hop,Chill,0.69,0.95,119.0
S_0250,Classical Track 250,Artist 69,Classical,Romantic,0.32,0.55,85.0
S_0251,Country Track 251,Artist 56,Country,Chill,0.15,0.57,85.0
S_0252,Classical Track 252,Artist 32,Classical,Energetic,0.73,0.57,140.0
S_0253,Rock Track 253,Artist 58,Rock,Energetic,0.85,0.77,145.0
S_0254,Electronic Track 254,Artist 73,Electronic,Chill,0.92,0.58,116.0
S_0255,R&B Track 255,Artist 4,R&B,Energetic,0.7,0.87,102.0
S_0256,Country Track 256,Artist 24,Country,Energetic,0.83,0.88,144.0
S_0257,Country Track 257,Artist 46,Country,Sad,0.24,0.51,64.0
S_0258,Classical Track 258,Artist 36,Classical,Energetic,0.94,0.56,120.0
S_0259,Classical Track 259,Artist 2,Classical,Romantic,0.42,0.17,69.0
S_0260,Electronic Track 260,Artist 31,Electronic,Happy,0.89,0.86,132.0
S_0261,R&B Track 261,Artist 72,R&B,Chill,0.38,0.37,70.0
S_0262,Electronic Track 262,Artist 61,Electronic,Angry,0.74,0.59,145.0
S_0263,Country Track 263,Artist 3,Country,Chill,0.33,0.3,78.0
S_0264,Rock Track 264,Artist 29,Rock,Energetic,0.98,0.58,129.0
S_0265,R&B Track 265,Artist 32,R&B,Angry,0.55,0.61,81.0
S_0266,Classical Track 266,Artist 75,Classical,Angry,0.45,0.57,83.0
S_0267,Jazz Track 267,Artist 71,Jazz,Chill,0.38,0.56,88.0
S_0268,Jazz Track 268,Artist 96,Jazz,Chill,0.16,0.39,84.0
S_0269,Jazz Track 269,Artist 90,Jazz,Energetic,0.77,0.87,147.0
S_0270,Country Track 270,Artist 40,Country,Energetic,0.97,0.73,106.0
S_0271,Classical Track 271,Artist 16,Classical,Sad,0.49,0.52,65.0
S_0272,Electronic Track 272,Artist 16,Electronic,Energetic,0.97,0.93,126.0
S_0273,Hip-Hop Track 273,Artist 28,Hip-Hop,Sad,0.84,0.7,103.0
S_0274,Country Track 274,Artist 93,Country,Energetic,0.73,0.9,100.0
S_0275,Classical Track 275,Artist 25,Classical,Happy,0.73,0.7,127.0
S_0276,Classical Track 276,Artist 47,Classical,Sad,0.47,0.27,74.0
S_0277,Hip-Hop Track 277,Artist 2,Hip-Hop,Energetic,0.9,0.73,111.0
S_0278,Hip-Hop Track 278,Artist 6,Hip-Hop,Energetic,0.78,0.57,109.0
S_0279,Pop Track 279,Artist 38,Pop,Romantic,0.8,0.71,146.0
S_0280,Hip-Hop Track 280,Artist 97,Hip-Hop,Angry,0.74,0.79,132.0
S_0281,Country Track 281,Artist 2,Country,Happy,0.61,0.83,109.0
S_0282,Classical Track 282,Artist 62,Classical,Chill,0.48,0.17,77.0
S_0283,Country Track 283,Artist 24,Country,Energetic,0.63,1.0,125.0
S_0284,Pop Track 284,Artist 62,Pop,Energetic,0.84,0.53,137.0
S_0285,Rock Track 285,Artist 52,Rock,Happy,0.68,0.95,110.0
S_0286,Country Track 286,Artist 74,Country,Happy,0.68,0.52,124.0
S_0287,Pop Track 287,Artist 20,Pop,Sad,0.83,0.53,139.0
S_0288,Classical Track 288,Artist 32,Classical,Happy,0.78,0.76,122.0
S_0289,Rock Track 289,Artist 98,Rock,Romantic,0.5,0.58,86.0
S_0290,R&B Track 290,Artist 77,R&B,Romantic,0.39,0.73,118.0
S_0291,Electronic Track 291,Artist 49,Electronic,Romantic,0.75,0.64,132.0
S_0292,Country Track 292,Artist 39,Country,Chill,0.26,0.11,66.0
S_0293,R&B Track 293,Artist 73,R&B,Energetic,0.89,0.83,101.0
S_0294,Pop Track 294,Artist 95,Pop,Romantic,0.69,0.62,134.0
S_0295,Rock Track 295,Artist 81,Rock,Sad,0.11,0.15,92.0
S_0296,Electronic Track 296,Artist 85,Electronic,Energetic,0.67,0.83,112.0
S_0297,Rock Track 297,Artist 31,Rock,Sad,0.14,0.22,89.0
S_0298,Hip-Hop Track 298,Artist 10,Hip-Hop,Romantic,0.94,0.92,120.0
S_0299,Hip-Hop Track 299,Artist 53,Hip-Hop,Happy,0.87,0.6,115.0
S_0300,Country Track 300,Artist 77,Country,Angry,0.75,0.31,83.0
S_0301,Country Track 301,Artist 5,Country,Energetic,0.68,0.51,109.0
S_0302,Electronic Track 302,Artist 91,Electronic,Energetic,0.83,0.71,145.0
S_0303,Classical Track 303,Artist 59,Classical,Angry,0.43,0.27,70.0
S_0304,Rock Track 304,Artist 30,Rock,Angry,0.49,0.6,91.0
S_0305,Classical Track 305,Artist 76,Classical,Angry,0.35,0.3,82.0
S_0306,Electronic Track 306,Artist 15,Electronic,Chill,0.77,0.65,147.0
S_0307,Electronic Track 307,Artist 20,Electronic,Angry,0.91,0.57,143.0
S_0308,Classical Track 308,Artist 10,Classical,Sad,0.29,0.55,92.0
S_0309,Pop Track 309,Artist 40,Pop,Sad,0.77,0.51,113.0
S_0310,Classical Track 310,Artist 16,Classical,Chill,0.32,0.42,70.0
S_0311,Country Track 311,Artist 39,Country,Angry,0.37,0.72,119.0
S_0312,R&B Track 312,Artist 65,R&B,Energetic,0.81,0.59,114.0
S_0313,Country Track 313,Artist 11,Country,Chill,0.11,0.56,65.0
S_0314,Pop Track 314,Artist 95,Pop,Chill,0.83,0.64,128.0
S_0315,Jazz Track 315,Artist 33,Jazz,Romantic,0.36,0.51,68.0
S_0316,Pop Track 316,Artist 30,Pop,Happy,0.6,0.57,145.0
S_0317,Pop Track 317,Artist 35,Pop,Angry,0.95,0.8,130.0
S_0318,Pop Track 318,Artist 61,Pop,Sad,0.87,0.59,146.0
S_0319,Country Track 319,Artist 24,Country,Energetic,0.77,0.69,126.0
S_0320,R&B Track 320,Artist 63,R&B,Angry,0.32,0.38,110.0
S_0321,Rock Track 321,Artist 45,Rock,Chill,0.13,0.4,70.0
S_0322,R&B Track 322,Artist 42,R&B,Energetic,0.76,0.64,118.0
S_0323,Rock Track 323,Artist 43,Rock,Sad,0.39,0.25,83.0
S_0324,R&B Track 324,Artist 64,R&B,Angry,0.54,0.63,117.0
S_0325,Classical Track 325,Artist 52,Classical,Angry,0.39,0.21,61.0
S_0326,Pop Track 326,Artist 12,Pop,Chill,0.7,0.8,103.0
S_0327,Jazz Track 327,Artist 42,Jazz,Energetic,0.8,0.8,117.0
S_0328,Rock Track 328,Artist 66,Rock,Chill,0.41,0.15,63.0
S_0329,Pop Track 329,Artist 70,Pop,Angry,0.89,0.75,134.0
S_0330,Country Track 330,Artist 7,Country,Chill,0.27,0.22,93.0
S_0331,Electronic Track 331,Artist 47,Electronic,Romantic,0.92,0.85,114.0
S_0332,Country Track 332,Artist 57,Country,Angry,0.6,0.48,84.0
S_0333,Pop Track 333,Artist 35,Pop,Sad,0.97,0.57,148.0
S_0334,Hip-Hop Track 334,Artist 57,Hip-Hop,Energetic,0.78,0.59,127.0
S_0335,Country Track 335,Artist 4,Country,Happy,0.95,0.87,140.0
S_0336,Electronic Track 336,Artist 21,Electronic,Angry,0.86,0.85,142.0
S_0337,Classical Track 337,Artist 2,Classical,Romantic,0.2,0.34,69.0
S_0338,R&B Track 338,Artist 29,R&B,Happy,1.0,0.97,102.0
S_0339,Rock Track 339,Artist 16,Rock,Chill,0.38,0.56,67.0
S_0340,Hip-Hop Track 340,Artist 92,Hip-Hop,Chill,0.83,0.96,102.0
S_0341,Classical Track 341,Artist 91,Classical,Romantic,0.38,0.25,97.0
S_0342,Classical Track 342,Artist 62,Classical,Chill,0.49,0.57,79.0
S_0343,Country Track 343,Artist 59,Country,Sad,0.44,0.52,73.0
S_0344,Hip-Hop Track 344,Artist 25,Hip-Hop,Chill,0.93,0.52,130.0
S_0345,Hip-Hop Track 345,Artist 36,Hip-Hop,Happy,0.69,0.56,104.0
